name,birth_date,death_date,year_of_birth,year_of_death,reign_start,reign_end,,,
Magrethe 2.,1940-04-16,NA,1940,NA,1972,NA,,,
Frederik 9.,1899-03-11,1972-01-14,1899,1972,1947,1972,,,
Christian 10.,1870-09-26,1947-04-20,1870,1947,1912,1947,,,
Frederik 8.,1843-06-03,1912-05-14,1843,1912,1906,1912,,,
Christian 9.,1818-04-08,1906-01-29,1818,1906,1863,1906,,,
Frederik 7.,1808-10-06,1863-11-15,1808,1863,1848,1863,,,
Christian 8.,1786-09-18,1848-01-20,1786,1848,1839,1848,,,
Frederik 6.,1768-01-28,1839-12-03,1768,1839,1808,1839,,,
Christian 7.,1749-01-29,1808-03-13,1749,1808,1766,1808,,,
Frederik 5.,1732-03-31,1766-01-14,1732,1766,1746,1766,,,
Christian 6.,1699-11-30,1746-08-06,1699,1746,1730,1746,,,
Frederik 4.,1671-10-11,1730-10-12,1671,1730,1699,1730,,,
Christian 5.,1646-04-15,1699-08-25,1646,1699,1670,1699,,,
Frederik 3.,1609-03-18,1670-02-09,1609,1670,1648,1670,,,
Christian 4.,1577-04-12,1648-02-28,1577,1648,1588,1648,,,
Frederik 2.,1534-07-01,1588-04-04,1534,1588,1559,1588,,,
Christian 3.,1503-08-12,1559-01-01,1503,1559,1536,1559,,,
Frederik 1.,1471-10-07,1533-04-10,1471,1533,1523,1533,,,
Christian 2.,1481-07-01,1559-01-25,1481,1559,1513,1523,,,
Hans,1455-02-02,1513-02-20,1455,1513,1482,1513,,,
Christian 1.,1426-NA-NA,1481-05-21,1426,1481,1448,1482,,,
Christoffer 3. af Bayern,1416-NA-NA,1448-NA-NA,1416,1448,1440,1448,,,
Erik 7. af Pommern,1382-NA-NA,1459-NA-NA,1382,1459,1396,1440,,,
Margrete 1.,1353-NA-NA,1412-10-28,1353,1412,1387,1396,,,
Oluf 2.,1370-NA-NA,1387-NA-NA,1370,1387,1375,1387,,,
Valdemar 4. Atterdag,1320-NA-NA,1375-NA-NA,1320,1375,1340,1375,,,
Christoffer 2.,1276-NA-NA,1332-NA-NA,1276,1332,1329,1332,,,
Valdemar 3.,1315-NA-NA,1364-NA-NA,1315,1364,1326,1329,,,
Christoffer 2.,1276-NA-NA,1332-NA-NA,1276,1332,1319,1326,,,
Erik 6. Menved,1274-NA-NA,1319-NA-NA,1274,1319,1286,1319,,,
Erik 5. Klipping,1249-NA-NA,1286-NA-NA,1249,1286,1259,1286,,,
Christoffer 1.,1219-NA-NA,1259-NA-NA,1219,1259,1252,1259,,,
Abel,1218-NA-NA,1252-NA-NA,1218,1252,1250,1252,,,
Erik 4. Plovpenning,1216-NA-NA,1250-NA-NA,1216,1250,1241,1250,,,
Valdemar 2. Sejr,1170-NA-NA,1241-NA-NA,1170,1241,1202,1241,,,
Knud 4.,1163-NA-NA,1202-NA-NA,1163,1202,1182,1202,,,
Valdemar 1. den Store,1131-NA-NA,1182-NA-NA,1131,1182,1157,1182,,,
"Svend 3., Knud 3., Valdemar 1.",NA,NA,NA,NA,1146,1157,,,
Erik 3. Lam,NA,1146-08-27,NA,1146,1137,1146,,,
Erik 2. Emune,NA,1137-07-18,NA,1137,1134,1137,,,
Niels,NA,1134-NA-NA,NA,1134,1104,1134,,,
Erik 1. Ejegod,1056-NA-NA,1103-NA-NA,1056,1103,1095,1104,,,
Oluf 1. Hunger,NA,1095-NA-NA,NA,1095,1086,1095,,,
Knud 2. den Hellige,NA,1086-07-10,NA,1086,1080,1086,,,
Harald 3. Hen,NA,1080-NA-NA,NA,1080,1074,1080,,,
Svend 2. Estridsen,NA,1076-04-28,NA,1076,1047,1074,,,
Magnus den Gode,1024-NA-NA,NA,1024,NA,1042,1047,,,
Hardeknud,1020-NA-NA,1042-NA-NA,1020,1042,1035,1042,,,
Knud 1. den Store,NA,1035-NA-NA,NA,1035,1018,1035,,,
Harald 2.,NA,1018-NA-NA,NA,1018,1014,1018,,,
Svend 1. Tveskøg,NA,1014-NA-NA,NA,1014,1014,1014,,,
Harald 1. Blåtand,NA,NA,NA,NA,987,1014,,,
Gorm den Gamle,NA,NA,NA,NA,958,987,,,
